,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
0,2020-07-01,AAPL,88.48501586914062,91.02749633789062,91.83999633789062,91.27999877929688,110737200.0,2.0,0.0,92.58645479316108,90.6560455120147,100.0,66.66666666666667,100.0,91.27999877929688,91.27999877929688,30.959999084472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-07-01,AMZN,143.93499755859375,143.93499755859375,144.75,137.89950561523438,127268000.0,2.0,0.0,92.58645479316108,90.6560455120147,100.0,66.66666666666667,100.0,137.89950561523438,137.89950561523438,30.959999084472656,0.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0
0,2020-07-01,CRM,190.22315979003906,191.88999938964844,192.82000732421875,188.10000610351562,4754600.0,2.0,0.0,92.58645479316108,90.6560455120147,100.0,66.66666666666667,100.0,188.10000610351562,188.10000610351562,30.959999084472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-07-01,MSFT,196.1201171875,204.6999969482422,206.35000610351562,203.13999938964844,32061200.0,2.0,0.0,92.58645479316108,90.6560455120147,100.0,66.66666666666667,100.0,203.13999938964844,203.13999938964844,30.959999084472656,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
0,2020-07-01,NFLX,485.6400146484375,485.6400146484375,488.2300109863281,454.0,9705900.0,2.0,0.0,92.58645479316108,90.6560455120147,100.0,66.66666666666667,100.0,454.0,454.0,30.959999084472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-07-02,AAPL,88.48501586914062,91.02749633789062,92.61750030517578,91.9625015258789,114041600.0,3.0,0.015312561622039311,92.58645479316108,90.6560455120147,100.0,66.66666666666667,100.0,91.62125015258789,91.62125015258789,28.329999923706055,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
1,2020-07-02,AMZN,144.51499938964844,144.51499938964844,147.7779998779297,145.60049438476562,131868000.0,3.0,0.17277859418823027,152.64084276155398,130.85915723844602,100.0,66.66666666666667,100.0,141.75,141.75,28.329999923706055,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-07-02,CRM,190.85760498046875,192.52999877929688,195.38999938964844,193.16000366210938,4200300.0,3.0,0.11352558625048914,197.78592205575052,183.47408770987448,100.0,66.66666666666667,100.0,190.6300048828125,190.6300048828125,28.329999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-07-02,MSFT,197.61474609375,206.25999450683594,208.02000427246094,205.67999267578125,29315800.0,3.0,0.05698702885553075,208.00208898630046,200.81790307912922,100.0,66.66666666666667,100.0,204.40999603271484,204.40999603271484,28.329999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-07-02,NFLX,476.8900146484375,476.8900146484375,492.2799987792969,485.6400146484375,6351500.0,3.0,0.7098721235226435,514.5657451537224,425.07426949471505,100.0,66.66666666666625,100.0,469.82000732421875,469.82000732421875,28.329999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
