,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
0,2024-08-01,AAPL,217.3435516357422,218.36000061035156,224.47999572753906,224.3699951171875,62501000.0,3.0,2.126394158659565,236.69162141796235,215.03637540820952,59.415058837700684,3.2523612098090116,25.9363536847355,221.62233174641926,207.83049850463868,16.200000762939453,3.004786491101007,2.0,1.0,2.0,1.0,2.0,2.0,0.0
0,2024-08-01,AMZN,184.07000732421875,184.07000732421875,190.60000610351562,189.2899932861328,70435600.0,3.0,-1.4880838494052,204.4031765534039,175.96782106622499,52.09421048949089,-36.67615862181359,11.11701153873148,190.69766591389973,187.27033335367838,16.200000762939453,3.004786491101007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2024-08-01,CRM,251.58050537109375,253.05999755859375,263.3599853515625,259.8999938964844,5527400.0,3.0,1.992131480804062,263.9797025677761,247.07229480771215,51.07458698862945,64.78367490131666,6.268014843886721,252.6353332519531,255.39500071207684,16.200000762939453,3.004786491101007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2024-08-01,MSFT,413.93634033203125,417.1099853515625,427.4599914550781,420.7900085449219,30296400.0,3.0,-5.698224510982641,475.36585953252813,411.93113753778437,45.13587966697062,-151.88358031889135,1.4537878986129587,445.96666564941404,435.0696665445964,16.200000762939453,3.004786491101007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2024-08-01,NFLX,624.8499755859375,624.8499755859375,646.7100219726562,629.25,3720600.0,3.0,-8.275158170090322,694.3501419546703,613.2148543832202,46.82963359203833,-107.91049177562479,20.33777722014554,661.8606628417969,648.794834391276,16.200000762939453,3.004786491101007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-08-02,AAPL,218.83657836914062,219.86000061035156,225.60000610351562,219.14999389648438,105568600.0,4.0,1.6957470387458784,236.82607260620517,214.6519242199667,55.54025742945482,-9.56103713616914,27.69911055993532,221.79633178710938,208.42549845377604,20.520000457763672,52.030755546783695,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-08-02,AMZN,167.89999389648438,167.89999389648438,168.77000427246094,166.75,141448400.0,4.0,-2.9531929645508797,205.67770983782052,171.50328839215993,38.59771784035982,-239.42855096132297,19.874503110596535,190.15899912516275,186.90083338419598,20.520000457763672,52.030755546783695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-08-02,CRM,242.5436553955078,243.97000122070312,248.0,247.7899932861328,6504500.0,4.0,1.1475297536553057,263.19509933490076,246.3638972471305,45.85423514074611,-107.59856481978592,8.129568526557104,253.13333282470703,254.93166732788086,20.520000457763672,52.030755546783695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-08-02,MSFT,405.3819580078125,408.489990234375,415.0,412.489990234375,29437900.0,4.0,-6.853713072615733,474.9581179030321,407.62687965556165,42.65655961503838,-182.80750369260605,11.506141096593629,444.83966573079425,435.0334996541341,20.520000457763672,52.030755546783695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-08-02,NFLX,613.6400146484375,613.6400146484375,625.27001953125,620.97998046875,3523000.0,4.0,-9.250289694679282,691.4327451902764,609.9792482179269,45.098175303847675,-145.50505450542764,28.406636659822716,659.833329264323,649.2065002441407,20.520000457763672,52.030755546783695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-08-05,AAPL,208.29586791992188,209.27000427246094,213.5,199.08999633789062,119548600.0,0.0,-0.2612070289802375,240.58078586649833,208.09721095967353,44.10545318327546,-164.97108066718235,6.53917892155601,221.41966501871744,208.6961649576823,23.389999389648438,44.6495111498965,2.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0
2,2024-08-05,AMZN,161.02000427246094,161.02000427246094,162.9600067138672,154.2100067138672,83149400.0,0.0,-5.067757200501205,208.46003062107647,164.13796895167744,33.58931365048602,-275.9192136749661,25.588594616903464,189.0393325805664,186.3470001220703,23.389999389648438,44.6495111498965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-08-05,CRM,237.61265563964844,239.00999450683594,241.82000732421875,232.32000732421875,6899300.0,0.0,-0.7613454626242344,265.93429878662863,240.71869803954326,40.3976600810535,-220.4456125103921,13.033660863491415,252.85833282470702,254.2081672668457,23.389999389648438,44.6495111498965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
