train/ent_coef,train/ent_coef_loss,train/n_updates,time/total_timesteps,train/actor_loss,train/learning_rate,train/reward,time/episodes,time/fps,time/time_elapsed,train/critic_loss
0.1340787559747696,21.808753967285156,4003,4104,61.4764404296875,0.0001,-0.66446596,4,143,28,29.35095977783203
0.2011650651693344,18.370771408081055,8107,8208,100.65150451660156,0.0001,-0.6701891,8,140,58,71.60918426513672
0.3027597665786743,12.297194480895996,12211,12312,158.19952392578125,0.0001,0.21140155,12,136,89,25.091350555419922
0.43359777331352234,3.8242573738098145,16315,16416,215.70263671875,0.0001,-0.47510645,16,136,120,48.747169494628906
0.46751129627227783,1.6571465730667114,20419,20520,211.15066528320312,0.0001,-0.626934,20,135,151,58.193092346191406
0.48378705978393555,0.14385062456130981,24523,24624,219.2598419189453,0.0001,0.58585316,24,134,182,290.902099609375
0.5006360411643982,-0.30197370052337646,28627,28728,209.65576171875,0.0001,-0.21481416,28,135,212,187.30081176757812
0.31866341829299927,-6.2841949462890625,32731,32832,159.0485076904297,0.0001,-0.1455354,32,135,242,24.979122161865234
0.2072107344865799,-10.6980562210083,36835,36936,122.10987854003906,0.0001,0.46285063,36,134,274,24.076953887939453
0.13614054024219513,-14.23754596710205,40939,41040,96.109619140625,0.0001,0.89801353,40,133,306,10.90153694152832
0.09031327068805695,-17.12990379333496,45043,45144,76.25263214111328,0.0001,1.0248461,44,132,340,8.609856605529785
0.06025788560509682,-19.6267147064209,49147,49248,58.583091735839844,0.0001,0.21150635,48,130,376,6.146843910217285
0.04039332643151283,-20.02269172668457,53251,53352,50.41126251220703,0.0001,-0.09743578,52,129,411,14.073457717895508
0.027241017669439316,-19.532176971435547,57355,57456,40.328731536865234,0.0001,-0.35626146,56,128,445,8.754565238952637
0.018527239561080933,-17.281574249267578,61459,61560,32.45086669921875,0.0001,1.1179663,60,128,479,6.0723772048950195
0.012698795646429062,-12.14246654510498,65563,65664,23.5051326751709,0.0001,0.25870538,64,127,513,7.806884765625
0.008819814771413803,-8.598864555358887,69667,69768,22.522539138793945,0.0001,-0.14164071,68,127,546,5.390122890472412
