time/iterations,train/reward,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/std,train/explained_variance,train/policy_gradient_loss,train/approx_kl
34,0.40404525,69632,2190,31,0.040478515625,-1.4059196576476096,44.43250418901444,330,0.00025,0.2,23.298809051513672,0.9855396151542664,0.4491267204284668,-0.004000671449466609,0.005784071
35,2.6437194,71680,2192,32,0.020751953125,-1.4044194303452968,28.357296770811082,340,0.00025,0.2,14.503013610839844,0.9853268265724182,0.5757284164428711,-0.002747859159717336,0.0025839359
36,-1.1339543,73728,2191,33,0.022021484375,-1.4059831656515598,31.076141929626466,350,0.00025,0.2,18.90733528137207,0.9883247017860413,0.5735892355442047,-0.0025360430649016053,0.0036476154
37,-0.69326055,75776,2188,34,0.02314453125,-1.4076787240803241,25.124125957489014,360,0.00025,0.2,9.102396011352539,0.9890857338905334,0.6135367453098297,-0.0010591698839562014,0.0038089633
38,-0.12778045,77824,2187,35,0.015283203125,-1.4074616089463234,32.46548022031784,370,0.00025,0.2,10.88886547088623,0.9877652525901794,0.6034488677978516,-0.0014901346992701292,0.0049204705
39,2.5160635,79872,2188,36,0.000634765625,-1.4047350026667118,31.05802266597748,380,0.00025,0.2,11.226470947265625,0.9827651381492615,0.6873160600662231,-0.0009112589279538952,0.000560052
40,-2.5919905,81920,2189,37,0.0056640625,-1.4028601728379726,31.43238605260849,390,0.00025,0.2,10.057167053222656,0.9850101470947266,0.6631856560707092,-0.002248945159954019,0.001075964
41,0.8044116,83968,2190,38,0.0171875,-1.4043672271072865,30.678740394115447,400,0.00025,0.2,12.979122161865234,0.9863059520721436,0.7351988255977631,-0.0021135448914719746,0.0036080773
42,0.7762986,86016,2189,39,0.002978515625,-1.402144969254732,20.96240354180336,410,0.00025,0.2,6.778013706207275,0.9798003435134888,0.719243049621582,-0.0007939597053336911,0.00091685797
43,0.7238249,88064,2187,40,0.017919921875,-1.397998422384262,36.47155500650406,420,0.00025,0.2,18.008398056030273,0.9787886142730713,0.6666418612003326,-0.0020986586983781307,0.0028696377
44,-4.3867373,90112,2184,41,0.016064453125,-1.4001364089548587,31.330141186714172,430,0.00025,0.2,17.204715728759766,0.9828839898109436,0.7127732932567596,-0.002234645230055321,0.0043291887
45,-0.8748875,92160,2186,42,0.001171875,-1.4021522723138333,31.955395448207856,440,0.00025,0.2,9.208443641662598,0.9837076663970947,0.7535259574651718,8.051046752370894e-05,0.0006633981
46,0.19413036,94208,2186,43,0.020849609375,-1.408403193205595,33.019613564014435,450,0.00025,0.2,14.863073348999023,0.9930372834205627,0.6892029941082001,-0.0016230602923315018,0.0014824996
47,1.3872356,96256,2185,44,0.01328125,-1.4121558234095573,23.791919618844986,460,0.00025,0.2,8.409103393554688,0.9935195446014404,0.7588242441415787,-0.001582845306256786,0.0023074106
48,-0.15219118,98304,2184,45,0.01904296875,-1.413819681107998,31.748574912548065,470,0.00025,0.2,14.42270278930664,0.996081531047821,0.7424754798412323,-0.0018676454143133014,0.0030817774
49,0.32973433,100352,2183,45,0.01220703125,-1.412802805751562,33.309528541564944,480,0.00025,0.2,11.898741722106934,0.9913668632507324,0.7663419246673584,-0.001617075542890234,0.0012517164
50,0.83646816,102400,2183,46,0.0169921875,-1.4064813621342183,35.70790210962296,490,0.00025,0.2,23.793153762817383,0.982669472694397,0.7494322657585144,-0.0019184934586519375,0.0031460305
51,0.18735084,104448,2185,47,0.02333984375,-1.3989277951419354,22.930324655771255,500,0.00025,0.2,11.321958541870117,0.9776274561882019,0.7395218014717102,-0.0028574831143487246,0.0044470727
52,-1.3716573,106496,2186,48,0.0228515625,-1.389744684845209,30.54859869480133,510,0.00025,0.2,11.00130558013916,0.9647461175918579,0.7689838111400604,-0.0021662993123754857,0.0027943254
53,-1.4015951,108544,2187,49,0.023095703125,-1.3793320633471011,32.08786675930023,520,0.00025,0.2,11.031827926635742,0.9562399983406067,0.7856989651918411,-0.003985210976679809,0.003694572
54,0.28667113,110592,2187,50,0.019873046875,-1.372699511796236,24.350360947847367,530,0.00025,0.2,11.497160911560059,0.9545770287513733,0.8333281129598618,-0.001072226680116728,0.0031416179
55,-0.012588028,112640,2186,51,0.022705078125,-1.3692587472498416,26.525444155931474,540,0.00025,0.2,8.721109390258789,0.9473071098327637,0.8304390758275986,1.7039745580404996e-05,0.0022077863
56,-2.5586743,114688,2184,52,0.02158203125,-1.3636658795177936,23.789468705654144,550,0.00025,0.2,9.75729751586914,0.9447277784347534,0.8330612778663635,-0.0016921294081839733,0.004728033
57,3.933136,116736,2186,53,0.0306640625,-1.366011331230402,27.140102910995484,560,0.00025,0.2,9.212082862854004,0.9529534578323364,0.8518156409263611,-0.0009040019023814239,0.004544669
58,3.935851,118784,2187,54,0.033349609375,-1.3673451147973537,29.618626368045806,570,0.00025,0.2,9.080094337463379,0.9462023973464966,0.8253571689128876,-0.0020142550325545016,0.00520386
59,0.8430032,120832,2188,55,0.043017578125,-1.362985748797655,29.468245792388917,580,0.00025,0.2,11.298053741455078,0.9449514150619507,0.8406927734613419,-0.0025750135304406286,0.0031597712
60,0.3291118,122880,2187,56,0.040625,-1.3598716951906682,23.77199866771698,590,0.00025,0.2,10.02886962890625,0.9433231353759766,0.7465238273143768,0.00019382713362574576,0.0028375997
61,-1.1205417,124928,2185,57,0.01953125,-1.3590787425637245,32.428965389728546,600,0.00025,0.2,18.858423233032227,0.9405625462532043,0.8230630904436111,-0.0030703957891091704,0.0033649197
62,0.38540673,126976,2185,58,0.0298828125,-1.3568247482180595,29.60142402648926,610,0.00025,0.2,12.007472038269043,0.9391405582427979,0.7743598073720932,-0.002842696997686289,0.0062772576
63,-1.4710078,129024,2186,59,0.0326171875,-1.3578905314207077,29.055125308036803,620,0.00025,0.2,12.806038856506348,0.9437457919120789,0.8503172546625137,-0.002396902668988332,0.004992216
64,-0.06313532,131072,2186,59,0.015087890625,-1.358289946615696,25.72656393647194,630,0.00025,0.2,8.407731056213379,0.938757598400116,0.8342980891466141,-0.0015784374816576018,0.003972205
65,0.2092877,133120,2186,60,0.009033203125,-1.353402803093195,25.4022829413414,640,0.00025,0.2,8.525592803955078,0.9354937076568604,0.8280662894248962,-0.0002988758773426525,0.001572835
66,2.2428136,135168,2186,61,0.022412109375,-1.3507806032896041,32.8582620382309,650,0.00025,0.2,12.463957786560059,0.9325855374336243,0.8505248427391052,-0.0027533301181392744,0.0026996282
67,0.66244894,137216,2182,62,0.030712890625,-1.3483906731009483,32.075156164169314,660,0.00025,0.2,14.325732231140137,0.9304801225662231,0.8513229042291641,-0.0013626978499814868,0.00219077
68,0.41234547,139264,2183,63,0.041943359375,-1.3449923120439053,35.24472726583481,670,0.00025,0.2,8.163487434387207,0.9276188015937805,0.8274202048778534,-0.0027455984760308637,0.0032340912
69,0.59351504,141312,2184,64,0.05107421875,-1.3419526465237142,23.017074644565582,680,0.00025,0.2,7.555436134338379,0.9224978685379028,0.8312318325042725,-0.002932228788267821,0.004965917
70,-1.8313549,143360,2184,65,0.02919921875,-1.339873905479908,29.236235576868058,690,0.00025,0.2,11.412775993347168,0.9251582622528076,0.8579289317131042,-0.0018187858833698556,0.0034886114
71,1.0715849,145408,2184,66,0.01962890625,-1.3402030676603318,30.95408217906952,700,0.00025,0.2,12.10128402709961,0.9221310615539551,0.8732322752475739,-0.003013190202182159,0.0028353287
72,1.6508493,147456,2183,67,0.01689453125,-1.3377498671412469,29.01894052028656,710,0.00025,0.2,28.08011817932129,0.9217914342880249,0.8786809891462326,-0.000706485721457284,0.003775628
73,-0.48807067,149504,2159,69,0.091064453125,-1.3391586713492871,33.91345515847206,720,0.00025,0.2,13.61042308807373,0.924450695514679,0.7915116101503372,-0.002469715682673268,0.00733056
74,0.31311506,151552,2160,70,0.057763671875,-1.3381482668220996,28.099983787536623,730,0.00025,0.2,13.910676956176758,0.9198375940322876,0.8054594546556473,-0.004251637004199438,0.0052076112
75,-2.0328825,153600,2160,71,0.02861328125,-1.333409595489502,35.26909713745117,740,0.00025,0.2,11.877809524536133,0.9131723046302795,0.8333804160356522,-0.0012113993114326149,0.0039740573
76,-1.0850327,155648,2161,72,0.069580078125,-1.3271914340555668,33.396787917613985,750,0.00025,0.2,12.162425994873047,0.9112773537635803,0.8056093156337738,-0.004247911575657781,0.006161599
77,-1.530524,157696,2161,72,0.00908203125,-1.3271299950778483,26.667978119850158,760,0.00025,0.2,10.377140045166016,0.9128174185752869,0.8682798594236374,-0.000953687692526728,0.0025183717
78,0.46288013,159744,2161,73,0.01044921875,-1.3244849435985089,23.917343604564667,770,0.00025,0.2,17.198102951049805,0.9078026413917542,0.8284763544797897,-0.0014112947799731046,0.0021576136
79,3.4871671,161792,2160,74,0.02060546875,-1.3222297206521034,26.441990280151366,780,0.00025,0.2,15.255544662475586,0.9083690047264099,0.8640993237495422,-0.0012471295223804191,0.0030678855
80,1.7205329,163840,2160,75,0.04248046875,-1.324201912432909,30.322044587135316,790,0.00025,0.2,17.453935623168945,0.9128566980361938,0.849766418337822,-0.0009432563121663407,0.0049461466
81,-0.3244769,165888,2160,76,0.008447265625,-1.3315147295594216,33.96381848454475,800,0.00025,0.2,17.98069953918457,0.9208703637123108,0.8211568892002106,-0.0012959336017956957,0.0022916356
82,0.705597,167936,2161,77,0.028857421875,-1.3436161309480668,48.885634458065034,810,0.00025,0.2,11.750874519348145,0.9336884617805481,0.7398400008678436,-0.00135622157540638,0.0042515234
83,0.22531907,169984,2159,78,0.061572265625,-1.3451275251805783,22.88764390349388,820,0.00025,0.2,15.329605102539062,0.9268137216567993,0.8266591876745224,-0.0020996749663027003,0.005336904
84,-0.9887337,172032,2159,79,0.015185546875,-1.3427338987588882,47.64357118606567,830,0.00025,0.2,18.454729080200195,0.9256059527397156,0.8286976516246796,5.8979145251214504e-05,0.0024878082
85,-0.16387203,174080,2157,80,0.040771484375,-1.3368893310427665,52.73478109240532,840,0.00025,0.2,20.243083953857422,0.917583703994751,0.7083183825016022,-0.00116603382921312,0.004576431
86,-0.061975658,176128,2156,81,0.01376953125,-1.3324906311929225,41.4396636724472,850,0.00025,0.2,21.313003540039062,0.9174085259437561,0.7988024204969406,-0.0006224434444447979,0.0032554776
87,1.5195304,178176,2156,82,0.02294921875,-1.3331885173916818,40.98609684705734,860,0.00025,0.2,14.176891326904297,0.918151319026947,0.45593053102493286,-0.0015034426382044331,0.004816156
88,0.8756712,180224,2156,83,0.03525390625,-1.3323431126773357,38.041842710971835,870,0.00025,0.2,15.639397621154785,0.9152320623397827,0.7687010616064072,-0.0027255899898591452,0.004210474
89,0.71125203,182272,2155,84,0.093798828125,-1.327843003720045,31.318575662374496,880,0.00025,0.2,11.079323768615723,0.9104827642440796,0.8430254459381104,0.0011404646065784618,0.0085715065
90,-0.35870084,184320,2154,85,0.036572265625,-1.323418453335762,27.06729393005371,890,0.00025,0.2,8.8514986038208,0.9075396060943604,0.8586017787456512,-0.001681801796075888,0.0023467122
91,-0.78827524,186368,2154,86,0.0521484375,-1.3183197401463986,30.65103459954262,900,0.00025,0.2,13.398316383361816,0.8998121023178101,0.8946848213672638,-0.002157710505707655,0.0069613946
92,-1.1124367,188416,2154,87,0.04150390625,-1.3129276745021343,36.28979597091675,910,0.00025,0.2,14.020102500915527,0.8979737758636475,0.7275553643703461,-0.002964635836542584,0.0038527865
93,-3.2390163,190464,2155,88,0.034375,-1.3109226539731025,37.12404799461365,920,0.00025,0.2,25.934322357177734,0.8972215056419373,0.830581545829773,-0.0006629420357057824,0.0059070564
94,-0.7857158,192512,2155,89,0.03046875,-1.3074061393737793,31.080646085739136,930,0.00025,0.2,20.300899505615234,0.8923186659812927,0.8340209275484085,-0.000980868167243898,0.0028777863
95,7.882224,194560,2154,90,0.01611328125,-1.307196318358183,35.27895340919495,940,0.00025,0.2,12.903550148010254,0.8962350487709045,0.843104287981987,-0.0020961832327884623,0.0025040712
96,-0.2008062,196608,2153,91,0.066357421875,-1.315501544624567,27.564830499887467,950,0.00025,0.2,18.337093353271484,0.9074522256851196,0.7859270125627518,-0.0016696521721314638,0.006616275
97,2.8705556,198656,2152,92,0.035302734375,-1.321931816637516,30.277999424934386,960,0.00025,0.2,13.866230964660645,0.9079257845878601,0.8212122917175293,-0.0018628072808496653,0.0037910617
98,-0.10390934,200704,2151,93,0.030126953125,-1.3239460192620753,45.81699501276016,970,0.00025,0.2,13.638845443725586,0.9109542369842529,0.8184619396924973,-0.0011346692685037852,0.0061063366
99,0.18404087,202752,2152,94,0.03583984375,-1.3245133720338345,37.9230239868164,980,0.00025,0.2,18.080612182617188,0.9080331921577454,0.8638896048069,7.405200158245861e-05,0.004914445
100,-0.16929977,204800,2153,95,0.057568359375,-1.3220669634640216,27.970850265026094,990,0.00025,0.2,11.7652587890625,0.9058612585067749,0.881367914378643,-0.0033759693498723207,0.00431752
101,1.2814143,206848,2153,96,0.020556640625,-1.3135569132864475,35.2276769399643,1000,0.00025,0.2,10.319653511047363,0.893629252910614,0.6827613115310669,-0.0017822090041590855,0.0028664614
102,1.299373,208896,2153,97,0.02587890625,-1.3044683270156383,50.069040822982785,1010,0.00025,0.2,16.50078010559082,0.8907638788223267,0.7724872529506683,-0.0017230381417903118,0.0040475684
103,0.5079565,210944,2152,98,0.0431640625,-1.301035799831152,33.66486572027206,1020,0.00025,0.2,17.701284408569336,0.8860113024711609,0.8401038944721222,-0.0028938485396793113,0.0066303476
104,-7.002393,212992,2151,98,0.044970703125,-1.3038541063666345,32.927327662706375,1030,0.00025,0.2,6.757567405700684,0.8962315320968628,0.8647948652505875,-0.001217114887549542,0.0042090053
105,-0.056001708,215040,2152,99,0.075537109375,-1.3086495392024518,28.713919496536256,1040,0.00025,0.2,16.687681198120117,0.8942186236381531,0.692804366350174,-0.003964188191457651,0.008572961
106,-0.44805953,217088,2153,100,0.03759765625,-1.3063219875097274,34.522699248790744,1050,0.00025,0.2,28.11194610595703,0.8922481536865234,0.8490510582923889,-0.0015227924042847008,0.006282416
107,0.8651492,219136,2153,101,0.049755859375,-1.3087238647043704,39.653458350896834,1060,0.00025,0.2,22.34947395324707,0.8977232575416565,0.7181740701198578,-0.005361666163662448,0.005861534
108,1.9427047,221184,2153,102,0.040380859375,-1.309733697772026,37.280592787265775,1070,0.00025,0.2,16.150442123413086,0.8947270512580872,0.8150963932275772,-0.002194613768369891,0.0045629153
109,-1.5066962,223232,2152,103,0.06123046875,-1.3056320644915105,31.544464391469955,1080,0.00025,0.2,7.669410705566406,0.8910861015319824,0.8377657681703568,-0.0024043492565397175,0.00806142
110,0.8902938,225280,2152,104,0.05576171875,-1.3078362405300141,20.939610201120377,1090,0.00025,0.2,13.143548011779785,0.8987531065940857,0.8568395525217056,-0.0003938692418159917,0.0060176766
111,-1.6176174,227328,2153,105,0.020263671875,-1.3091193653643132,30.97269231081009,1100,0.00025,0.2,8.286619186401367,0.8908239603042603,0.8830081149935722,-0.0007655198569409549,0.0058630384
112,-2.323172,229376,2153,106,0.0205078125,-1.2991482242941856,27.04969330430031,1110,0.00025,0.2,27.120094299316406,0.8829621076583862,0.8693594485521317,-0.0010191351815592498,0.004015536
113,0.0073452326,231424,2153,107,0.015576171875,-1.2932025089859962,39.131768548488616,1120,0.00025,0.2,14.050745964050293,0.8819816708564758,0.830292746424675,7.441814814228565e-05,0.0029577608
114,1.29177,233472,2152,108,0.059716796875,-1.2960816837847233,37.89906516671181,1130,0.00025,0.2,16.1336727142334,0.882334291934967,0.8043166548013687,-0.0024981472190120256,0.010362498
115,-3.6474504,235520,2152,109,0.03916015625,-1.2918646045029163,48.45608615875244,1140,0.00025,0.2,13.602197647094727,0.8783683776855469,0.7605041414499283,-0.0010667249371181242,0.0028156172
116,1.3300991,237568,2152,110,0.029248046875,-1.289725012332201,34.362088072299954,1150,0.00025,0.2,13.798620223999023,0.8794922828674316,0.8704313188791275,-0.0048437141958856955,0.0039647557
117,-0.5727854,239616,2151,111,0.018212890625,-1.2886710897088052,33.602396726608276,1160,0.00025,0.2,8.221287727355957,0.8755552172660828,0.812895804643631,-0.0010316943153156899,0.0031920546
118,-0.58271277,241664,2151,112,0.02666015625,-1.2876890026032926,36.39110549688339,1170,0.00025,0.2,8.4240140914917,0.8776447772979736,0.8843189775943756,-0.0015328292240155861,0.005086503
119,1.9316965,243712,2151,113,0.030126953125,-1.2914363712072372,22.189200079441072,1180,0.00025,0.2,10.973650932312012,0.8816624283790588,0.8204878717660904,-0.003268164642213378,0.0047460357
120,0.64024913,245760,2151,114,0.05185546875,-1.2914236694574357,27.11296401023865,1190,0.00025,0.2,17.775718688964844,0.8772804737091064,0.8718373477458954,-0.0029940618347609415,0.0047906507
121,0.8467907,247808,2150,115,0.046533203125,-1.2833840899169444,26.739746743440627,1200,0.00025,0.2,13.970036506652832,0.8713014721870422,0.9002294465899467,-0.0038410439650760964,0.0065596895
122,0.64265287,249856,2151,116,0.018310546875,-1.2846447356045245,42.14829860925674,1210,0.00025,0.2,23.273622512817383,0.8783519864082336,0.8433463722467422,-0.0015131011721678078,0.0024608984
123,0.23720752,251904,2151,117,0.06650390625,-1.2852783761918545,31.807876962423325,1220,0.00025,0.2,10.671957015991211,0.8712857961654663,0.8172577619552612,-0.0032816114573506637,0.007270136
124,-1.7178512,253952,2152,117,0.05244140625,-1.2791111432015896,22.846947693824767,1230,0.00025,0.2,10.08239459991455,0.8665398955345154,0.8715668171644211,-0.004233285679947585,0.005642672
125,-0.4328045,256000,2152,118,0.044482421875,-1.27017415240407,28.520722895860672,1240,0.00025,0.2,14.516834259033203,0.856387734413147,0.897962860763073,-0.002223713333660271,0.0075020073
126,-1.114905,258048,2151,119,0.097705078125,-1.2638781435787678,25.14278130531311,1250,0.00025,0.2,7.911839008331299,0.8548034429550171,0.8870350867509842,-0.0008710801601409912,0.016363773
127,-0.2210837,260096,2151,120,0.05673828125,-1.2607835151255131,27.739037442207337,1260,0.00025,0.2,12.29178524017334,0.8520082235336304,0.8691087365150452,-0.0017143365781521424,0.012124927
128,0.84142447,262144,2151,121,0.039990234375,-1.2536660753190518,18.962508696317673,1270,0.00025,0.2,7.493770122528076,0.8415749669075012,0.8581029921770096,-0.0033193463488714768,0.0046613514
129,2.8855498,264192,2152,122,0.04248046875,-1.2439161576330662,24.728464514017105,1280,0.00025,0.2,12.241941452026367,0.8377153277397156,0.8821352869272232,-0.000525232229847461,0.00777564
130,1.6548249,266240,2152,123,0.04521484375,-1.2435834847390652,34.699909096956254,1290,0.00025,0.2,16.99479866027832,0.8396667242050171,0.8732466697692871,-0.001486169095733203,0.008593971
131,0.72866464,268288,2152,124,0.053564453125,-1.2462295673787593,38.50688962340355,1300,0.00025,0.2,17.970731735229492,0.8439702391624451,0.7977607548236847,-0.0031134257282246836,0.004338933
132,-0.7844988,270336,2152,125,0.03544921875,-1.2479231543838978,28.201354789733887,1310,0.00025,0.2,11.147964477539062,0.840613603591919,0.8670822978019714,-0.002527381616528146,0.0047979653
133,-1.9584767,272384,2151,126,0.046337890625,-1.2455447524785996,18.537629663944244,1320,0.00025,0.2,7.467832088470459,0.8405106067657471,0.8908332884311676,-0.002157491588150151,0.0070689516
134,3.4447865,274432,2152,127,0.039453125,-1.246836993843317,27.533511650562286,1330,0.00025,0.2,9.734557151794434,0.8410578370094299,0.8929163813591003,-0.0017877157893963157,0.00491501
135,0.18218376,276480,2152,128,0.04619140625,-1.2485687367618084,24.150049656629562,1340,0.00025,0.2,8.689704895019531,0.8455632328987122,0.9143337160348892,-0.0025949270857381634,0.006982169
136,0.8616142,278528,2152,129,0.065673828125,-1.2490137465298177,26.456499648094177,1350,0.00025,0.2,7.383425712585449,0.8434951901435852,0.8931127488613129,-0.00047318161523435265,0.008700108
137,0.7912073,280576,2152,130,0.112060546875,-1.2549466252326966,17.560474509000777,1360,0.00025,0.2,8.640878677368164,0.8509714603424072,0.8901597410440445,-0.00042982688755728305,0.009827396
138,-0.8569823,282624,2152,131,0.057861328125,-1.2540622383356095,23.319587296247484,1370,0.00025,0.2,16.9093017578125,0.8467471599578857,0.9144319519400597,-0.002569501695688814,0.012249028
139,1.2467414,284672,2151,132,0.056982421875,-1.2524681374430657,31.324555540084837,1380,0.00025,0.2,8.806421279907227,0.8454946279525757,0.8812278360128403,-0.0020360721624456345,0.0061656144
140,-1.4049869,286720,2152,133,0.0587890625,-1.2515792429447175,28.02192829847336,1390,0.00025,0.2,17.688356399536133,0.8461662530899048,0.8796138763427734,-0.0030928052074159496,0.008929718
141,1.389367,288768,2152,134,0.031396484375,-1.252590923011303,23.310501366853714,1400,0.00025,0.2,7.862518310546875,0.8464713096618652,0.9108072370290756,-0.00017554282749188133,0.006451613
142,-1.1533647,290816,2152,135,0.05068359375,-1.2510757870972156,22.742810124158858,1410,0.00025,0.2,9.046277046203613,0.8454461097717285,0.8835910856723785,-0.0013490586919942872,0.008491183
143,-2.7842793,292864,2152,136,0.0359375,-1.2485797688364983,26.67574816942215,1420,0.00025,0.2,10.185842514038086,0.8399971723556519,0.9209686294198036,-0.0020682770817074926,0.0033460334
