,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
0,2020-01-02,AAPL,72.620849609375,75.0875015258789,75.1500015258789,74.05999755859375,135480400.0,3.0,0.0,74.49548289654848,73.85201313616636,100.0,-66.66666666667227,100.0,74.05999755859375,74.05999755859375,13.460000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-03,AAPL,71.9148178100586,74.35749816894531,75.1449966430664,74.2874984741211,146322800.0,4.0,0.005104187207351174,74.49548289654848,73.85201313616636,100.0,-66.66666666667227,100.0,74.17374801635742,74.17374801635742,15.010000228881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-06,AAPL,72.48786163330078,74.94999694824219,74.98999786376953,73.44750213623047,118387200.0,0.0,-0.01954448855919111,74.80057385988287,73.06275825274734,20.748624377991874,-92.59187495963498,98.38012554367633,73.93166605631511,73.93166605631511,15.449999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-07,AAPL,72.14693450927734,74.59750366210938,75.2249984741211,74.95999908447266,108872000.0,1.0,0.024331922528148198,75.43807019455367,72.93942843215531,67.9948468318679,100.65686581169622,98.38012554367633,74.18874931335449,74.18874931335449,13.84000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-08,AAPL,73.30751037597656,75.79750061035156,76.11000061035156,74.29000091552734,132079200.0,2.0,0.021000690714913617,75.29472681301242,73.12327245456571,53.40516270696577,142.35055453601254,99.4857290061498,74.20899963378906,74.20899963378906,15.15999984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-09,AAPL,74.86463165283203,77.40750122070312,77.60749816894531,76.80999755859375,170108400.0,3.0,0.1263599574199361,76.9777015509807,72.30729702486565,74.60593601381981,185.31890955695425,99.7359055130036,74.64249928792317,74.64249928792317,12.949999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-10,AAPL,75.03387451171875,77.5824966430664,78.1675033569336,77.6500015258789,140644800.0,4.0,0.22980497050794213,78.18869813914098,71.955586790407,78.0498755726466,132.50430350186855,99.74960200194978,75.07214246477399,75.07214246477399,12.420000076293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-13,AAPL,76.63693237304688,79.23999786376953,79.26750183105469,77.91000366210938,121532000.0,0.0,0.30783872075014074,78.94142877930102,71.91232144958082,78.96339502403517,127.31030492276055,99.83397118059607,75.42687511444092,75.42687511444092,12.84000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-14,AAPL,75.6020736694336,78.16999816894531,79.39250183105469,79.17500305175781,161954400.0,1.0,0.41995295236517904,79.97272088108113,71.71394666720445,82.60672725934648,103.62605691327688,99.83397118059608,75.84333377414279,75.84333377414279,12.720000267028809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-01-15,AAPL,75.27808380126953,77.83499908447266,78.875,77.9625015258789,121923600.0,2.0,0.43091878323750166,80.17271797599162,71.9377831226412,70.49998293205903,67.48356470685603,79.61328152249433,76.05525054931641,76.05525054931641,12.789999961853027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-01-16,AAPL,76.22106170654297,78.80999755859375,78.92500305175781,78.39749908447266,108829200.0,3.0,0.4559743281745341,80.42187215029806,72.11449231836316,72.02179021863235,77.54969590341068,82.97156067305207,76.26818223433061,76.26818223433061,12.199999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-01-17,AAPL,77.06488800048828,79.68250274658203,79.68499755859375,79.06749725341797,137816400.0,4.0,0.5049440007461783,80.77892590384882,72.22399106799362,74.14680369646983,95.71160049558442,85.22472280483026,76.50145848592122,76.50145848592122,12.210000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-01-21,AAPL,76.54264068603516,79.14250183105469,79.75499725341797,79.29750061035156,110843200.0,1.0,0.5475554156203515,81.09575010883641,72.33732718984147,74.82582108622475,85.10276550711593,85.22472280483025,76.71653864933894,76.71653864933894,13.229999542236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-01-22,AAPL,76.81584930419922,79.42500305175781,79.99749755859375,79.6449966430664,101832400.0,2.0,0.5924785648802526,81.41487324278093,72.43655519785803,75.81845614627453,88.69115380120977,85.87243736977335,76.92571422031948,76.92571422031948,12.449999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-01-23,AAPL,77.18579864501953,79.80750274658203,79.88999938964844,79.4800033569336,104472000.0,3.0,0.6090069343904077,81.61849052694845,72.57350979857239,74.37794003304435,83.60822746445453,86.68971462669121,77.09600016276042,77.09600016276042,13.260000228881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-01-24,AAPL,76.96334075927734,79.57749938964844,80.8324966430664,80.0625,146537600.0,4.0,0.6492222336733846,81.8954525093848,72.66736029579098,76.04047861763787,92.7330809745741,86.6897146266912,77.28140640258789,77.28140640258789,12.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
